problem,segments,plan_length,nodes_expanded,runtime_s
road-1.pddl,1,1,2,0.4769322872161865
road-1000.pddl,1000,1002,1003,0.5999629497528076
road-1024.pddl,1024,1026,1027,0.5767152309417725
road-128.pddl,128,130,131,0.364788293838501
road-1500.pddl,1500,1502,1503,0.7787685394287109
road-16.pddl,16,18,19,0.34821295738220215
road-16384.pddl,16384,16386,16387,26.467095851898193
road-2.pddl,2,4,5,0.33150434494018555
road-2000.pddl,2000,2002,2003,1.0466432571411133
road-2048.pddl,2048,2050,2051,1.0718128681182861
road-2256.pddl,2256,2258,2259,1.2008357048034668
road-2500.pddl,2500,2502,2503,1.3939521312713623
road-2512.pddl,2512,2514,2515,1.3673877716064453
road-256.pddl,256,258,259,0.4037187099456787
road-2768.pddl,2768,2770,2771,1.51485276222229
road-3000.pddl,3000,3002,3003,1.6833815574645996
road-3024.pddl,3024,3026,3027,1.7257554531097412
road-32.pddl,32,34,35,0.34732699394226074
road-3280.pddl,3280,3282,3283,1.9015331268310547
road-3500.pddl,3500,3502,3503,2.084974765777588
road-3536.pddl,3536,3538,3539,2.104750394821167
road-3792.pddl,3792,3794,3795,2.3861186504364014
road-4.pddl,4,6,7,0.35461926460266113
road-4000.pddl,4000,4002,4003,2.572298765182495
road-4048.pddl,4048,4050,4051,2.632561206817627
road-4096.pddl,4096,4098,4099,2.5872230529785156
road-4500.pddl,4500,4502,4503,3.005680561065674
road-500.pddl,500,502,503,0.4613821506500244
road-5000.pddl,5000,5002,5003,3.575178861618042
road-512.pddl,512,514,515,0.5459589958190918
road-5500.pddl,5500,5502,5503,4.046212911605835
road-6000.pddl,6000,6002,6003,4.669186353683472
road-64.pddl,64,66,67,0.35376858711242676
road-6500.pddl,6500,6502,6503,5.435315847396851
road-7000.pddl,7000,7002,7003,6.081239938735962
road-7500.pddl,7500,7502,7503,6.741982460021973
road-8.pddl,8,10,11,0.33073878288269043
road-8000.pddl,8000,8002,8003,7.575737476348877
road-8192.pddl,8192,8194,8195,7.787418365478516
road-8500.pddl,8500,8502,8503,8.426895380020142
road-9000.pddl,9000,9002,9003,9.138260841369629
