config,config_name,problem,size,plan_length,nodes_expanded,memory_mb,runtime_s,success,timeout
optimal,A* with LM-cut (Optimal),exp-2x2.pddl,2,8.0,10.0,9.984375,0.4296293258666992,True,False
optimal,A* with LM-cut (Optimal),exp-3x3.pddl,3,19.0,248.0,10.1171875,0.4386622905731201,True,False
optimal,A* with LM-cut (Optimal),exp-4x4.pddl,4,34.0,9638.0,11.453125,0.8717789649963379,True,False
optimal,A* with LM-cut (Optimal),exp-5x5.pddl,5,51.0,280821.0,59.9609375,31.53463125228882,True,False
optimal,A* with LM-cut (Optimal),exp-6x6.pddl,6,,,,60.04513144493103,False,True
optimal,A* with LM-cut (Optimal),exp-7x7.pddl,7,,,,60.004469871520996,False,True
optimal,A* with LM-cut (Optimal),exp-8x8.pddl,8,,,,60.02556490898132,False,True
optimal,A* with LM-cut (Optimal),exp-9x9.pddl,9,,,,60.00419068336487,False,True
greedy_ff,Greedy Best-First (FF heuristic),exp-2x2.pddl,2,10.0,18.0,9.984375,0.5339431762695312,True,False
greedy_ff,Greedy Best-First (FF heuristic),exp-3x3.pddl,3,21.0,37.0,9.984375,0.5298032760620117,True,False
greedy_ff,Greedy Best-First (FF heuristic),exp-4x4.pddl,4,42.0,108.0,10.1171875,0.5216803550720215,True,False
greedy_ff,Greedy Best-First (FF heuristic),exp-5x5.pddl,5,113.0,592.0,10.1171875,0.5543167591094971,True,False
greedy_ff,Greedy Best-First (FF heuristic),exp-6x6.pddl,6,136.0,824.0,10.2421875,0.5644881725311279,True,False
greedy_ff,Greedy Best-First (FF heuristic),exp-7x7.pddl,7,231.0,5244.0,10.90625,0.6961569786071777,True,False
greedy_ff,Greedy Best-First (FF heuristic),exp-8x8.pddl,8,350.0,3549.0,11.04296875,0.7788801193237305,True,False
greedy_ff,Greedy Best-First (FF heuristic),exp-9x9.pddl,9,459.0,25423.0,14.109375,1.8750529289245605,True,False
lazy_greedy_ff,Lazy Greedy (FF heuristic),exp-2x2.pddl,2,10.0,36.0,9.984375,0.5481529235839844,True,False
lazy_greedy_ff,Lazy Greedy (FF heuristic),exp-3x3.pddl,3,33.0,208.0,9.984375,0.5220165252685547,True,False
lazy_greedy_ff,Lazy Greedy (FF heuristic),exp-4x4.pddl,4,42.0,275.0,10.1171875,0.515608549118042,True,False
lazy_greedy_ff,Lazy Greedy (FF heuristic),exp-5x5.pddl,5,99.0,1515.0,10.11328125,0.5345034599304199,True,False
lazy_greedy_ff,Lazy Greedy (FF heuristic),exp-6x6.pddl,6,140.0,1738.0,10.2421875,0.5946657657623291,True,False
lazy_greedy_ff,Lazy Greedy (FF heuristic),exp-7x7.pddl,7,225.0,5819.0,10.91015625,0.6832396984100342,True,False
lazy_greedy_ff,Lazy Greedy (FF heuristic),exp-8x8.pddl,8,324.0,25203.0,14.1640625,1.1556129455566406,True,False
